Street,HouseNumber,Locality,Region,Province,PostalCode,Country,Latitude,Longitude
Ayazmana Caddesi,77,Ayazmana,Isparta Merkez,Isparta,32040,Turkey,37.7549998,30.5741153
Zübeyde Hanım Caddesi,5,Kaleboğazı,İskilip,Çorum,19400,Turkey,40.7324945,34.4726705
Gaziantep Kahramanmaraş Yolu,4555,Bağdınısağır,Pazarcık,Kahramanmaraş,46700,Turkey,37.5084316,37.3381127
Bıçakçılar Sokak,8,Karahüyük,Meram,Konya,42140,Turkey,37.8244603,32.4321911
Atatürk Cad.,7,Gazi Osman Paşa Mahallesi,Çerkezköy,Tekirdağ,59500,Turkey,39.9974126,36.0858716
Üzüm Veren Caddesi,1,Girne,Güroymak,Bitlis,13800,Turkey,38.5776137,42.0169004
K. Tuncel Sokak,1,Aksaray,Elâzığ Merkez,Elazığ,23050,Turkey,38.6752059,39.2212452
Atatürk Caddesi,25,Yusufpaşa,Kars Merkez,Kars,36100,Turkey,40.6093315,43.0917055
4001. Sokak,40,Karşıyaka,Kâhta,Adıyaman,02400,Turkey,37.7864859,38.6187718
12. Caddesi,42,Yenişehir,Viranşehir,Şanlıurfa,63700,Turkey,37.2249886,39.7581518
Gazi Caddesi,54,İzzetbey,Çumra,Konya,42500,Turkey,37.5693119,32.7833585
Atatürk Caddesi,9,Hürriyet,Ulaş,Sivas,58380,Turkey,39.444722,37.0410289
Tabakhane Sokak,9,Kurşunlu,Sivrihisar,Eskişehir,26600,Turkey,39.4479532,31.538835
A. Karadavut Sokak,15,Çaypınar,Kadışehri,Yozgat,66540,Turkey,39.997738,35.7917479
Adnan Menderes Bulvarı,13,Ferah,Dursunbey,Balıkesir,10800,Turkey,39.5862093,28.6270145
Kuloğlu Sokak,3,Muratpaşa,Yakutiye,Erzurum,25100,Turkey,39.904814,41.273943
Kütahya - Eskişehir Yolu,2,Vefa,Kütahya Merkez,Kütahya,43100,Turkey,39.4360969,29.9995065
Aşık Seyrani Caddesi,9,Harman,Develi,Kayseri,38400,Turkey,38.3897221,35.49214
Fevzi Çakmak Caddesi,42,Altıntaş,Nazilli,Aydın,09800,Turkey,37.9146473,28.3305301
17421. Sokak,5-3,Çayırbağı,Meram,Konya,42005,Turkey,37.7664549,32.3803587
Şelale Caddesi,107,Şelale,Erzincan Merkez,Erzincan,24100,Turkey,39.5888331,39.7216527
Abdullah Yavuz Caddesi,8,Yeni,Sarıcakaya,Eskişehir,26870,Turkey,40.038221,30.620252
Kemal Şahan Caddesi,2,Merkez,Espiye,Giresun,28600,Turkey,40.9491577,38.7062644
Konya Caddesi (5. Blv.),60,Aydınlık,Eskil,Aksaray,68800,Turkey,38.203685,33.3560634
Ramazan Yıldırım Caddesi,118,Atatürk,Kâhta,Adıyaman,02440,Turkey,37.7804396,38.6213942
1008. Sokak,7,Yeni,Batman Merkez,Batman,72050,Turkey,37.8808941,41.1216526
417. Sokak,12,Yeni,Tutak,Ağrı,04700,Turkey,39.5388762,42.765855
Yeni Meram Caddesi,222,Aşkan,Meram,Konya,42040,Turkey,37.859846,32.438585
Samanyolu Sokak,191,Hacıpiri,İskilip,Çorum,19400,Turkey,40.7195292,34.4830645
Girne Caddesi,63,İstiklal,Tufanbeyli,Adana,01640,Turkey,38.262007,36.2202903
Dağ Sokak,1,Kayabaşı,Haymana,Ankara,06860,Turkey,39.4341011,32.4958685
17396. Sokak,10,Çayırbağı,Meram,Konya,42005,Turkey,37.7671144,32.3655843
Bursa Eskişehir Yolu,13,Süleymaniye,İnegöl,Bursa,16400,Turkey,40.0932053,29.4881977
Malazgirt Caddesi,35,İnönü,Patnos,Ağrı,04500,Turkey,39.2331153,42.8631645
Millet Bulvarı,103,Fabrikalar,Kırıkkale Merkez,Kırıkkale,71100,Turkey,39.8376097,33.5035462
Şehit Mürsel Karataş Caddesi,25,Yakınca,Yeşilyurt,Malatya,44100,Turkey,38.3338137,38.2277717
Tophane Cami Sokak,3,Pazarkapı,Merkez,Trabzon,61200,Turkey,41.008171,39.721108
Konya Caddesi,146,Tacin,Aksaray Merkez,Aksaray,68200,Turkey,38.3582937,33.9751327
Çankaya,118,Çankaya,Karaköprü,Şanlıurfa,63320,Turkey,37.2132981,38.7976348
Hayrabolu Caddesi,174,Atatürk,Uzunköprü,Edirne,22300,Turkey,41.268178,26.699606
Yörük Ali Efe Cad.,24,Çarşı,Yenipazar,Aydın,09350,Turkey,37.8231903,28.1949643
502. Sokak,4,Cumhuriyet,Vezirköprü,Samsun,55900,Turkey,41.1400512,35.4627496
Sanayi Caddesi,52,Adalet,Karapınar,Konya,42400,Turkey,37.7181922,33.5141607
Yalı Caddesi,8,Yenişakran,Aliağa,İzmir,35800,Turkey,38.8805767,27.0654043
Atatürk Bulvarı,31744,Cumhuriyet,Delice,Kırıkkale,71700,Turkey,39.945829,34.0312781
Transit Caddesi,23,Cumhuriyet,Taşlıçay,Ağrı,04800,Turkey,39.6346595,43.3766721
İstanbul Samsun Yolu,11060,Kale,Kargı,Çorum,19902,Turkey,41.0797166,34.4463273
Nakipoğlu Caddesi,20,Uluoymak,Gediz,Kütahya,43600,Turkey,38.9874234,29.39587
Adnan Menderes Caddesi,3,Aydınlı - Orta,Nevşehir Merkez,Nevşehir,50180,Turkey,38.6443977,34.828382
103. Sokak,1,Atatürk,Baykan,Siirt,56460,Turkey,38.1314037,41.7160852
72424 sokak,5,İzzetbey,Çumra,Konya,42500,Turkey,37.5712276,32.7825906
Yeşil Saha Sokak,1,Yeni,Yunak,Konya,42533,Turkey,38.8144076,31.7335756
İbrahim Terzioğlu Caddesi,7,Boğazkent,Çanakkale Merkez,Çanakkale,17110,Turkey,40.1103379,26.4071922
Alaaddin Sokak,4,İstiklal,Beypazarı,Ankara,06730,Turkey,40.169402,31.9182017
Karacakaya Caddesi,161,Önder,Altındağ,Ankara,06165,Turkey,39.9551293,32.9093081
Mehmet Akif Ersoy Caddesi,15,Adnan Menderes,Taşlıçay,Ağrı,04800,Turkey,39.632966,43.3774029
Bilal Eroğlu Caddesi,63,Avcılar mah,Nevşehir Merkez,Nevşehir,50180,Turkey,38.64672,34.8329389
Erzurum-Trabzon Eski Tarihi Yolu,29800,Selen,Torul,Gümüşhane,29800,Turkey,40.638881,39.4055007
Şorhabil Caddesi,1,Demirciler,Kilis Merkez,Kilis,79000,Turkey,36.7202377,37.1218275
İnönü Caddesi,35,Kaptanpaşa,Ardahan Merkez,Ardahan,75000,Turkey,41.1124343,42.7038307
Cumhuriyet Caddesi,38,Yenidoğan,Kırıkkale Merkez,Kırıkkale,71200,Turkey,39.8413383,33.5080918
İbrahim Karaoğlanoğlu Cad.,7,Güneşli,Elbistan,Kahramanmaraş,46357,Turkey,38.2020698,37.1903638
Hatip Caddesi,600,Hatıp,Meram,Konya,42140,Turkey,37.767692,32.4148675
2716. Sokak,2716,Kızılmurat,Tarsus,Mersin,33400,Turkey,36.9170825,34.8957635
İstanbul Samsun Yolu,38,Yeni,Tosya,Kastamonu,37302,Turkey,41.0180651,34.0811539
Hükümet Caddesi,4,Andifli,Kaş,Antalya,07580,Turkey,36.1985687,29.6419536
Transit Caddesi,117,Cumhuriyet,Taşlıçay,Ağrı,04800,Turkey,39.6329184,43.378566
Kazım Dirik Caddesi,101,Zeydan,Bitlis Merkez,Bitlis,13000,Turkey,38.4000447,42.1077432
Öğretmenler Bulvarı,1,2000 Evler,Seyhan,Adana,01200,Turkey,37.0219449,35.254135
Konya Caddesi,52,Atçeken,Cihanbeyli,Konya,42850,Turkey,38.6569505,32.9228134
Hamamyolu Caddesi,1,İkiçeşme,Seyitgazi,Eskişehir,26950,Turkey,39.443626,30.6957139
Akpınar Caddesi,4,Odunluk,Ni̇lüfer,Bursa,16110,Turkey,40.2075492,28.9992392
1812. Sokak,21,Gevher Hatun,Karaman Merkez,Karaman,70200,Turkey,37.1704272,33.2520078
3. Zümrüt Sokak,11,Doburca,Osmangazi̇,Bursa,16090,Turkey,40.1844401,29.0072762
117. Sokak,5,Yenişehir,Muradiye,Van,65500,Turkey,38.9894387,43.7600733
Atatürk Bulvarı,67,Pınarbaşı,Mut,Mersin,33600,Turkey,36.6425585,33.4404484
Barajyanı Sokak,5,Esentepe,Şarkışla,Sivas,58400,Turkey,39.3419818,36.4098997
Eski Urfa Caddesi,18,Gölbaşı,Viranşehir,Şanlıurfa,63700,Turkey,37.2330405,39.7614239
Gülbey Karataş Caddesi,01280,Cumhuriyet,Yüreğir,Adana,01300,Turkey,36.9833019,35.3463859
İnönü Caddesi,13,Yenişehir,Bingöl Merkez,Bingöl,12000,Turkey,38.885274,40.4963761
14. Nisan Caddesi,18,Yeni,Patnos,Ağrı,04500,Turkey,39.2343847,42.8625592
